date,year,month,year_month,day_of_week,plaza_id_raw,facility_id,facility_code,facility_name,facility_type,direction,direction_label,ezpass_vehicles,vtoll_vehicles,total_vehicles,ezpass_share_pct,congestion_period,latitude,longitude
2025-02-14,2025,2,2025-02,Friday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,129184,24019,153203,84.32,After congestion pricing,40.7906,-73.9228
2025-02-13,2025,2,2025-02,Thursday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,119671,20578,140249,85.33,After congestion pricing,40.7906,-73.9228
2025-02-12,2025,2,2025-02,Wednesday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,111844,19505,131349,85.15,After congestion pricing,40.7906,-73.9228
2025-02-11,2025,2,2025-02,Tuesday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,116087,19842,135929,85.4,After congestion pricing,40.7906,-73.9228
2025-02-10,2025,2,2025-02,Monday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,112055,19437,131492,85.22,After congestion pricing,40.7906,-73.9228
2025-02-09,2025,2,2025-02,Sunday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,80125,14339,94464,84.82,After congestion pricing,40.7906,-73.9228
2025-02-08,2025,2,2025-02,Saturday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,101771,19733,121504,83.76,After congestion pricing,40.7906,-73.9228
2025-02-07,2025,2,2025-02,Friday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,125284,22624,147908,84.7,After congestion pricing,40.7906,-73.9228
2025-02-06,2025,2,2025-02,Thursday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,105685,18172,123857,85.33,After congestion pricing,40.7906,-73.9228
2025-02-05,2025,2,2025-02,Wednesday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,114607,19656,134263,85.36,After congestion pricing,40.7906,-73.9228
2025-02-04,2025,2,2025-02,Tuesday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,100332,17527,117859,85.13,After congestion pricing,40.7906,-73.9228
2025-02-03,2025,2,2025-02,Monday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,105553,18297,123850,85.23,After congestion pricing,40.7906,-73.9228
2025-02-02,2025,2,2025-02,Sunday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,97996,18044,116040,84.45,After congestion pricing,40.7906,-73.9228
2025-02-01,2025,2,2025-02,Saturday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,103829,20020,123849,83.84,After congestion pricing,40.7906,-73.9228
2025-01-31,2025,1,2025-01,Friday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,120886,21679,142565,84.79,After congestion pricing,40.7906,-73.9228
2025-01-30,2025,1,2025-01,Thursday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,121394,20595,141989,85.5,After congestion pricing,40.7906,-73.9228
2025-01-29,2025,1,2025-01,Wednesday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,111628,19543,131171,85.1,After congestion pricing,40.7906,-73.9228
2025-01-28,2025,1,2025-01,Tuesday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,116446,20342,136788,85.13,After congestion pricing,40.7906,-73.9228
2025-01-27,2025,1,2025-01,Monday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,114502,20567,135069,84.77,After congestion pricing,40.7906,-73.9228
2025-01-26,2025,1,2025-01,Sunday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,98048,18175,116223,84.36,After congestion pricing,40.7906,-73.9228
2025-01-25,2025,1,2025-01,Saturday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,104645,20138,124783,83.86,After congestion pricing,40.7906,-73.9228
2025-01-24,2025,1,2025-01,Friday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,122078,22190,144268,84.62,After congestion pricing,40.7906,-73.9228
2025-01-23,2025,1,2025-01,Thursday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,117660,20102,137762,85.41,After congestion pricing,40.7906,-73.9228
2025-01-22,2025,1,2025-01,Wednesday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,112226,19698,131924,85.07,After congestion pricing,40.7906,-73.9228
2025-01-21,2025,1,2025-01,Tuesday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,114054,19631,133685,85.32,After congestion pricing,40.7906,-73.9228
