indicator,borough,county,county_fips,period,period_start_year,period_end_year,period_midpoint,latitude,longitude,age_adjusted_rate_3yr_per_10000,age_adjusted_annual_rate_per_10000,event_count_3yr,crude_rate_3yr_per_10000,crude_annual_rate_per_10000,daily_mean_events,location_precision,source
Hospitalizations,Manhattan,New York County,36061,2005-2007,2005,2007,2006-07-01T00:00:00Z,40.7831,-73.9712,89.25,29.748,12409,78.65,26.217,11.332,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
Hospitalizations,Queens,Queens,36081,2005-2007,2005,2007,2006-07-01T00:00:00Z,40.7282,-73.7949,67.89,22.631,14105,64.74,21.579,12.881,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
Hospitalizations,Staten Island,Richmond,36085,2005-2007,2005,2007,2006-07-01T00:00:00Z,40.5795,-74.1502,50.95,16.983,2315,50.54,16.846,2.114,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
ED Visits,Bronx,Bronx,36005,2006-2008,2006,2008,2007-07-01T00:00:00Z,40.8448,-73.8648,810.01,270.003,111264,820.99,273.665,101.518,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
ED Visits,Brooklyn,Kings,36047,2006-2008,2006,2008,2007-07-01T00:00:00Z,40.6782,-73.9442,393.04,131.012,94672,387.06,129.019,86.38,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
ED Visits,Manhattan,New York County,36061,2006-2008,2006,2008,2007-07-01T00:00:00Z,40.7831,-73.9712,492.52,164.172,65535,414.2,138.067,59.795,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
ED Visits,Queens,Queens,36081,2006-2008,2006,2008,2007-07-01T00:00:00Z,40.7282,-73.7949,262.01,87.338,53162,243.68,81.227,48.505,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
ED Visits,Staten Island,Richmond,36085,2006-2008,2006,2008,2007-07-01T00:00:00Z,40.5795,-74.1502,238.27,79.422,10691,232.26,77.419,9.755,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
Hospitalizations,Bronx,Bronx,36005,2006-2008,2006,2008,2007-07-01T00:00:00Z,40.8448,-73.8648,200.11,66.704,26647,196.62,65.541,24.313,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
Hospitalizations,Brooklyn,Kings,36047,2006-2008,2006,2008,2007-07-01T00:00:00Z,40.6782,-73.9442,99.2,33.067,23665,96.75,32.251,21.592,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
Hospitalizations,Manhattan,New York County,36061,2006-2008,2006,2008,2007-07-01T00:00:00Z,40.7831,-73.9712,89.08,29.693,12571,79.45,26.484,11.47,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
Hospitalizations,Queens,Queens,36081,2006-2008,2006,2008,2007-07-01T00:00:00Z,40.7282,-73.7949,67.72,22.574,14085,64.56,21.521,12.851,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
Hospitalizations,Staten Island,Richmond,36085,2006-2008,2006,2008,2007-07-01T00:00:00Z,40.5795,-74.1502,53.04,17.681,2443,53.07,17.691,2.229,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
ED Visits,Bronx,Bronx,36005,2007-2009,2007,2009,2008-07-01T00:00:00Z,40.8448,-73.8648,795.72,265.241,109799,804.62,268.208,100.182,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
