timestamp_utc,date_utc,year,month,site_id,site_name,borough,latitude,longitude,pm25_daily_mean_ugm3,pm25_observed_mean_ugm3,pm25_hourly_max_ugm3,valid_hours,coverage_pct,coverage_status,quality_status
2025-01-03T00:00:00Z,2025-01-03,2025,1,36081NY09285,Queens College,Queens,40.73711,-73.82156,4.734,4.734,6.65,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-03T00:00:00Z,2025-01-03,2025,1,36085NY03820,SI Expwy,Staten Island,40.60921,-74.15118,4.77,4.77,6.83,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-04T00:00:00Z,2025-01-04,2025,1,36005NY11534,Mott Haven,Bronx,40.80649,-73.92249,3.979,3.979,8.3,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-04T00:00:00Z,2025-01-04,2025,1,36005NY11790,Hunt's Point,Bronx,40.81909,-73.88566,,,,0,0.0,No data,Preliminary; subject to revision
2025-01-04T00:00:00Z,2025-01-04,2025,1,36005NY12387,Cross Bronx Expy,Bronx,40.84517,-73.90614,4.232,4.232,9.9,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-04T00:00:00Z,2025-01-04,2025,1,36047NY07974,BQE,Brooklyn,40.7028,-73.96082,3.72,3.72,7.59,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-04T00:00:00Z,2025-01-04,2025,1,36061NY08454,Manhattan Bridge,Manhattan,40.71651,-73.997,4.568,4.568,9.91,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-04T00:00:00Z,2025-01-04,2025,1,36061NY08552,Williamsburg Bridge,Manhattan,40.71807,-73.98606,4.471,4.471,8.74,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-04T00:00:00Z,2025-01-04,2025,1,36061NY08653,FDR,Manhattan,40.72229,-73.97465,4.279,4.279,8.08,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-04T00:00:00Z,2025-01-04,2025,1,36061NY09734,Broadway/35th St,Manhattan,40.75069,-73.98783,4.157,4.157,8.49,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-04T00:00:00Z,2025-01-04,2025,1,36061NY09929,Midtown West,Manhattan,40.75514,-73.99086,6.111,6.111,12.29,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-04T00:00:00Z,2025-01-04,2025,1,36061NY10130,Queensboro Bridge,Manhattan,40.76123,-73.96389,4.045,4.045,7.87,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-04T00:00:00Z,2025-01-04,2025,1,36061NY12380,Hamilton Bridge,Manhattan,40.84654,-73.93302,,,,0,0.0,No data,Preliminary; subject to revision
2025-01-04T00:00:00Z,2025-01-04,2025,1,36081NY07615,Van Wyck,Queens,40.69015,-73.80908,3.885,3.885,7.79,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-04T00:00:00Z,2025-01-04,2025,1,36081NY08198,Glendale,Queens,40.70574,-73.88627,,,,0,0.0,No data,Preliminary; subject to revision
2025-01-04T00:00:00Z,2025-01-04,2025,1,36081NY09285,Queens College,Queens,40.73711,-73.82156,3.439,3.439,6.57,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-04T00:00:00Z,2025-01-04,2025,1,36085NY03820,SI Expwy,Staten Island,40.60921,-74.15118,4.358,4.358,11.16,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-05T00:00:00Z,2025-01-05,2025,1,36005NY11534,Mott Haven,Bronx,40.80649,-73.92249,3.505,3.505,4.76,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-05T00:00:00Z,2025-01-05,2025,1,36005NY11790,Hunt's Point,Bronx,40.81909,-73.88566,,,,0,0.0,No data,Preliminary; subject to revision
2025-01-05T00:00:00Z,2025-01-05,2025,1,36005NY12387,Cross Bronx Expy,Bronx,40.84517,-73.90614,3.973,3.973,5.61,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-05T00:00:00Z,2025-01-05,2025,1,36047NY07974,BQE,Brooklyn,40.7028,-73.96082,3.46,3.46,4.8,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-05T00:00:00Z,2025-01-05,2025,1,36061NY08454,Manhattan Bridge,Manhattan,40.71651,-73.997,4.151,4.151,5.69,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-05T00:00:00Z,2025-01-05,2025,1,36061NY08552,Williamsburg Bridge,Manhattan,40.71807,-73.98606,4.055,4.055,5.35,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-05T00:00:00Z,2025-01-05,2025,1,36061NY08653,FDR,Manhattan,40.72229,-73.97465,3.977,3.977,8.38,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-05T00:00:00Z,2025-01-05,2025,1,36061NY09734,Broadway/35th St,Manhattan,40.75069,-73.98783,3.939,3.939,5.31,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-05T00:00:00Z,2025-01-05,2025,1,36061NY09929,Midtown West,Manhattan,40.75514,-73.99086,5.582,5.582,9.75,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-05T00:00:00Z,2025-01-05,2025,1,36061NY10130,Queensboro Bridge,Manhattan,40.76123,-73.96389,3.509,3.509,5.41,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-05T00:00:00Z,2025-01-05,2025,1,36061NY12380,Hamilton Bridge,Manhattan,40.84654,-73.93302,,,,0,0.0,No data,Preliminary; subject to revision
2025-01-05T00:00:00Z,2025-01-05,2025,1,36081NY07615,Van Wyck,Queens,40.69015,-73.80908,3.592,3.592,5.12,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-05T00:00:00Z,2025-01-05,2025,1,36081NY08198,Glendale,Queens,40.70574,-73.88627,,,,0,0.0,No data,Preliminary; subject to revision
2025-01-05T00:00:00Z,2025-01-05,2025,1,36081NY09285,Queens College,Queens,40.73711,-73.82156,3.493,3.493,4.89,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-05T00:00:00Z,2025-01-05,2025,1,36085NY03820,SI Expwy,Staten Island,40.60921,-74.15118,3.519,3.519,4.53,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-06T00:00:00Z,2025-01-06,2025,1,36005NY11534,Mott Haven,Bronx,40.80649,-73.92249,4.701,4.701,7.16,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-06T00:00:00Z,2025-01-06,2025,1,36005NY11790,Hunt's Point,Bronx,40.81909,-73.88566,,,,0,0.0,No data,Preliminary; subject to revision
2025-01-06T00:00:00Z,2025-01-06,2025,1,36005NY12387,Cross Bronx Expy,Bronx,40.84517,-73.90614,5.753,5.753,7.41,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-06T00:00:00Z,2025-01-06,2025,1,36047NY07974,BQE,Brooklyn,40.7028,-73.96082,5.461,5.461,8.67,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-06T00:00:00Z,2025-01-06,2025,1,36061NY08454,Manhattan Bridge,Manhattan,40.71651,-73.997,5.965,5.965,9.34,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-06T00:00:00Z,2025-01-06,2025,1,36061NY08552,Williamsburg Bridge,Manhattan,40.71807,-73.98606,5.858,5.858,8.61,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-06T00:00:00Z,2025-01-06,2025,1,36061NY08653,FDR,Manhattan,40.72229,-73.97465,5.68,5.68,14.27,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-06T00:00:00Z,2025-01-06,2025,1,36061NY09734,Broadway/35th St,Manhattan,40.75069,-73.98783,5.39,5.39,7.98,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-06T00:00:00Z,2025-01-06,2025,1,36061NY09929,Midtown West,Manhattan,40.75514,-73.99086,7.649,7.649,13.63,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-06T00:00:00Z,2025-01-06,2025,1,36061NY10130,Queensboro Bridge,Manhattan,40.76123,-73.96389,4.621,4.621,7.27,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-06T00:00:00Z,2025-01-06,2025,1,36061NY12380,Hamilton Bridge,Manhattan,40.84654,-73.93302,,,,0,0.0,No data,Preliminary; subject to revision
2025-01-06T00:00:00Z,2025-01-06,2025,1,36081NY07615,Van Wyck,Queens,40.69015,-73.80908,5.012,5.012,7.42,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-06T00:00:00Z,2025-01-06,2025,1,36081NY08198,Glendale,Queens,40.70574,-73.88627,,,,0,0.0,No data,Preliminary; subject to revision
2025-01-06T00:00:00Z,2025-01-06,2025,1,36081NY09285,Queens College,Queens,40.73711,-73.82156,4.322,4.322,5.69,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-06T00:00:00Z,2025-01-06,2025,1,36085NY03820,SI Expwy,Staten Island,40.60921,-74.15118,7.358,7.358,18.09,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-07T00:00:00Z,2025-01-07,2025,1,36005NY11534,Mott Haven,Bronx,40.80649,-73.92249,3.81,3.81,6.33,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-07T00:00:00Z,2025-01-07,2025,1,36005NY11790,Hunt's Point,Bronx,40.81909,-73.88566,,,,0,0.0,No data,Preliminary; subject to revision
2025-01-07T00:00:00Z,2025-01-07,2025,1,36005NY12387,Cross Bronx Expy,Bronx,40.84517,-73.90614,4.254,4.254,7.18,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-07T00:00:00Z,2025-01-07,2025,1,36047NY07974,BQE,Brooklyn,40.7028,-73.96082,3.7,3.7,5.23,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-07T00:00:00Z,2025-01-07,2025,1,36061NY08454,Manhattan Bridge,Manhattan,40.71651,-73.997,4.186,4.186,7.09,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-07T00:00:00Z,2025-01-07,2025,1,36061NY08552,Williamsburg Bridge,Manhattan,40.71807,-73.98606,4.75,4.75,7.01,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-07T00:00:00Z,2025-01-07,2025,1,36061NY08653,FDR,Manhattan,40.72229,-73.97465,4.493,4.493,6.94,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-07T00:00:00Z,2025-01-07,2025,1,36061NY09734,Broadway/35th St,Manhattan,40.75069,-73.98783,4.118,4.118,6.55,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-07T00:00:00Z,2025-01-07,2025,1,36061NY09929,Midtown West,Manhattan,40.75514,-73.99086,5.702,5.702,9.05,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-07T00:00:00Z,2025-01-07,2025,1,36061NY10130,Queensboro Bridge,Manhattan,40.76123,-73.96389,3.87,3.87,6.22,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-07T00:00:00Z,2025-01-07,2025,1,36061NY12380,Hamilton Bridge,Manhattan,40.84654,-73.93302,,,,0,0.0,No data,Preliminary; subject to revision
2025-01-07T00:00:00Z,2025-01-07,2025,1,36081NY07615,Van Wyck,Queens,40.69015,-73.80908,4.16,4.16,5.84,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-07T00:00:00Z,2025-01-07,2025,1,36081NY08198,Glendale,Queens,40.70574,-73.88627,,,,0,0.0,No data,Preliminary; subject to revision
2025-01-07T00:00:00Z,2025-01-07,2025,1,36081NY09285,Queens College,Queens,40.73711,-73.82156,3.585,3.585,5.69,24,100.0,At least 18 hours,Preliminary; subject to revision
